BTNLRN41H49I003J,"Incrocio Gastone, 16 Piano 7, 55018, Segromigno In Monte (LU)",Elvira Giannetti
BSNRRA17T28A452U,"Viale Amanda, 25 Piano 7, 35129, Padova (PD)",Lorenzo Trezzini
MZZRCT32T64E977M,"Vicolo Abba, 9, 73046, Matino (LE)",Sig.ra Aria Garrone
FRNNCL67E55F225X,"Viale Orsini, 312 Appartamento 9, 66023, Francavilla Al Mare (CH)",Mariano Calarco
VSPGFR44L42I480P,"Strada Priuli, 64 Piano 3, 12034, Paesana (CN)",Erika Benigni
NTNMLE72S44D412L,"Via Sole, 49, 61025, Montelabbate (PU)",Maurilio Coppola
DLLSMT84R09H778X,"Contrada Giacobbe, 62, 18021, Borgomaro (IM)",Dante Lucciano-Missoni
CSRFBA18D66I384A,"Viale Carlo, 8 Appartamento 8, 34014, Santa Croce (TS)",Irma Pennetta
MLDLRT49H15E504T,"Via Santorio, 7, 40129, Bologna (BO)",Camilla Bernardini
CNTBRR45B66G964F,"Incrocio Evangelista, 15 Piano 0, 20874, Busnago (MB)",Isabella Vento
RNRNNT15C27M096R,"Vicolo Gaggini, 4 Piano 1, 23035, Pendosso (SO)",Maurizio Rensi
CSTBNC59R24G859W,"Contrada Ermanno, 72 Appartamento 5, 88054, Sersale (CZ)",Uberto Zanazzo
BGGFRC62C17I048E,"Viale Marzorati, 77 Appartamento 28, 65010, Civitaquana (PE)",Dionigi Meucci-Gritti
CRDNTN49D48D537X,"Viale Liverotti, 9 Appartamento 53, 40136, Paderno (BO)",Gianfranco Buscetta
GRBLNE22E64I138Y,"Canale Gemito, 1 Piano 8, 48025, Borgo Rivola (RA)",Luigi Nolcini
ZBRMLT62P41G286V,"Incrocio Morrocco, 441, 33051, Aquileia (UD)",Jolanda Beccaria
CRCTNI50P20F655B,"Strada Ubaldi, 27, 33095, San Giorgio Della Richinvelda (PN)",Adriano Pizzo
PGFGNI22S47E878P,"Canale Carocci, 12, 84040, Casal Velino (SA)",Mauro Cerutti
BRNRMN45R27L574K,"Canale Gaetano, 97, 70043, Lamalunga (BA)",Sig. Gianluigi Callegaro
BNVFST16P59D949N,"Borgo Cagnin, 3, 30036, Stigliano (VE)",Dott. Luchino Versace
PDVLNI19A28C553J,"Piazza Cristoforetti, 492, 29018, Chiavenna Rocchetta (PC)",Sig.ra Sophia Bulzoni
